Breakdown,12/30/2022,12/30/2021,12/30/2020,12/30/2019
Total Assets,"211,793,000","211,478,000","115,511,007","71,004,903"
"Cash, Cash Equivalents & Federal Funds Sold","13,803,000","14,619,000","17,674,763","6,781,783"
Cash And Cash Equivalents,"13,081,000","14,012,000","17,447,916","6,492,443"
Cash,"1,293,000","2,201,000","17,447,916","6,492,443"
Cash Equivalents,0,"352,000",-,0
Cash And Due from Banks,"11,788,000","11,459,000","17,674,763","6,781,783"
Money Market Investments,"722,000","607,000","226,847","289,340"
Federal Funds Sold & Securities Purchased Under Agreements to Resell,"722,000","607,000","226,847","289,340"
Security Agree to be Resold,"722,000","607,000","226,847","289,340"
Federal Home Loan Bank Stock,"720,000","107,000","61,232","60,258"
SECURITIES_AND_INVESTMENTS,"120,054,000","127,959,000","49,306,826","29,071,694"
Available for Sale Securities,"2,664,000","2,543,000","1,802,235","1,213,829"
Held To Maturity Securities,"91,321,000","98,195,000","16,592,153","13,842,946"
Other Short Term Investments,"26,069,000","27,221,000","30,912,438","14,014,919"
Long Term Equity Investment,-,-,"570,445",-
Derivative Assets,"552,000","684,000","2,595,779","1,143,089"
Net Loan,"73,614,000","65,854,000","44,733,723","32,859,712"
Gross Loan,"74,250,000","66,276,000","45,181,488","33,164,636"
Commercial Loan,"10,809,000","9,246,000",-,"28,428,121"
Consumer Loan,-,-,-,"489,949"
Mortgage Loan,"2,583,000","2,670,000",-,"4,246,566"
Other Loan Assets,"60,858,000","54,360,000","45,181,488","33,164,636"
Allowance for Loans And Lease Losses,"636,000","422,000","447,765","304,924"
Receivables,"788,000","524,000","281,560","264,625"
Accounts receivable,"788,000","524,000","281,560","264,625"
Net PPE,"729,000","583,000","385,750","359,241"
Gross PPE,"1,258,000","1,028,000","772,219","709,858"
Buildings And Improvements,"3,000","3,000",-,-
Machinery Furniture Equipment,"756,000","563,000","438,230","390,586"
Leases,"164,000","149,000","124,057","121,907"
Other Properties,"335,000","313,000","209,932","197,365"
Accumulated Depreciation,"-529,000","-445,000","-386,469","-350,617"
Goodwill And Other Intangible Assets,"511,000","535,000","204,120","187,240"
Goodwill,"375,000","375,000","142,685","137,823"
Other Intangible Assets,"136,000","160,000","61,435","49,417"
Deferred Assets,"179,000","24,000",776,"28,433"
Deferred Tax Assets,"179,000","24,000",776,"28,433"
Other Assets,"843,000","589,000","266,478","248,828"
Total Liabilities Net Minority Interest,"195,498,000","194,869,000","107,077,516","64,383,823"
Total Deposits,"173,109,000","189,203,000","101,981,807","61,757,807"
Interest Bearing Deposits Liabilities,"92,356,000","63,352,000","35,462,567","20,916,237"
Customer Accounts,"92,356,000","63,352,000","35,462,567","20,916,237"
Non Interest Bearing Deposits,"80,753,000","125,851,000","66,519,240","40,841,570"
Federal Funds Purchased And Securities Sold Under Agreement To Repurchase,"525,000","61,000",-,-
Federal Funds Purchased,-,-,-,0
Financial Instruments Sold Under Agreements To Repurchase,"525,000","61,000",-,0
Current Debt And Capital Lease Obligation,"13,040,000","60,000","20,553","17,430"
Current Debt,"13,040,000","60,000","20,553","17,430"
Other Current Borrowings,"13,040,000","60,000","20,553","17,430"
Derivative Product Liabilities,"333,000","398,000","2,402,283","1,026,344"
Long Term Debt And Capital Lease Obligation,"5,783,000","2,958,000","1,103,182","566,834"
Long Term Debt,"5,370,000","2,570,000","843,628","347,987"
Advance From Federal Home Loan Banks,"2,000,000",-,-,-
Long Term Capital Lease Obligation,"413,000","388,000","259,554","218,847"
Long Term Provisions,"303,000","171,000","120,796","67,656"
Employee Benefits,"848,000","896,000","545,376","354,393"
Non Current Deferred Liabilities,"26,000",-,"173,030",-
Non Current Deferred Taxes Liabilities,"26,000",-,"173,030",-
Other Liabilities,"1,531,000","1,122,000","730,489","593,359"
Total Equity Gross Minority Interest,"16,295,000","16,609,000","8,433,491","6,621,080"
Stockholders' Equity,"16,004,000","16,236,000","8,219,700","6,470,307"
Capital Stock,"3,646,000","3,646,000","340,190","340,190"
Preferred Stock,"3,646,000","3,646,000","340,138","340,138"
Common Stock,-,-,52,52
Retained Earnings,"8,951,000","7,442,000","5,671,749","4,575,601"
Additional Paid in Capital,"5,318,000","5,157,000","1,585,244","1,470,071"
Gains Losses Not Affecting Retained Earnings,"-1,911,000","-9,000","622,517","84,445"
Minority Interest,"291,000","373,000","213,791","150,773"
Total Capitalization,"21,374,000","18,806,000","9,063,328","6,818,294"
Preferred Stock Equity,"3,646,000","3,646,000","340,138","340,138"
Common Stock Equity,"12,358,000","12,590,000","7,879,562","6,130,169"
Capital Lease Obligations,"413,000","388,000","259,554","218,847"
Net Tangible Assets,"15,493,000","15,701,000","8,015,580","6,283,067"
Invested Capital,"30,768,000","15,220,000","8,743,743","6,495,586"
Tangible Book Value,"11,847,000","12,055,000","7,675,442","5,942,929"
Total Debt,"18,823,000","3,018,000","1,123,735","584,264"
Net Debt,"5,329,000",-,-,-
Share Issued,"59,172","58,748","51,888","51,656"
Ordinary Shares Number,"59,172","58,748","51,888","51,656"
Preferred Shares Number,383.5,383.5,350,350
